epigenome,epigenome_name,state,state_label,case_count,case_pct,ctrl_count,ctrl_pct,odds_ratio,pvalue,n_case_total,n_ctrl_total,fdr
E071,Hippocampus Middle,5_TxWk,Weak Transcription,2435,34.21385415203035,893,31.311360448807857,1.140907758047905,0.005557603984065455,7117,2852,0.04644569043826131
E071,Hippocampus Middle,6_EnhG,Genic Enhancers,160,2.248138260503021,65,2.279102384291725,0.9861014362954854,0.9405505808221841,7117,2852,1.0
E071,Hippocampus Middle,7_Enh,Enhancers,776,10.903470563439651,302,10.5890603085554,1.033325639614367,0.6685783830944243,7117,2852,0.9095775676982284
E071,Hippocampus Middle,8_ZNF/Rpts,ZNF Genes & Repeats,12,0.16861036953772657,8,0.2805049088359046,0.6004222378606615,0.3202449444430254,7117,2852,0.6843176987365572
E071,Hippocampus Middle,9_Het,Heterochromatin,52,0.7306449346634818,29,1.0168302945301542,0.7164799765722234,0.17376924271883465,7117,2852,0.5877488790064228
E072,Inferior Temporal Lobe,10_TssBiv,Bivalent/Poised TSS,7,0.09835604889700718,3,0.10518934081346423,0.9349742147210501,1.0,7117,2852,1.0
E072,Inferior Temporal Lobe,12_EnhBiv,Bivalent Enhancer,2,0.02810172825628776,2,0.07012622720897616,0.4005621925509487,0.3238380573659553,7117,2852,0.6843176987365572
E072,Inferior Temporal Lobe,13_ReprPC,Repressed PolyComb,21,0.2950681466910215,8,0.2805049088359046,1.0520715896279593,1.0,7117,2852,1.0
E072,Inferior Temporal Lobe,14_ReprPCWk,Weak Repressed PolyComb,398,5.592243923001265,141,4.943899018232819,1.1389085044105896,0.20290344753878137,7117,2852,0.5934925840509355
E072,Inferior Temporal Lobe,15_Quies,Quiescent/Low,2795,39.272165238162145,1234,43.26788218793829,0.8479307931903187,0.0002536809295726481,7117,2852,0.005936133751999965
E072,Inferior Temporal Lobe,1_TssA,Active TSS,112,1.5736967823521149,44,1.5427769985974753,1.0203620790344559,1.0,7117,2852,1.0
E072,Inferior Temporal Lobe,2_TssAFlnk,Flanking Active TSS,78,1.0959674019952226,26,0.9116409537166901,1.2044324477908794,0.44690441382399027,7117,2852,0.7804151704090577
E072,Inferior Temporal Lobe,3_TxFlnk,Transcr. at gene 5'/3',10,0.1405086412814388,2,0.07012622720897616,2.005065428450823,0.5278384735812471,7117,2852,0.8336905896152813
E072,Inferior Temporal Lobe,4_Tx,Strong Transcription,486,6.828719966277926,224,7.854137447405329,0.859873537712476,0.07723586365547883,7117,2852,0.4107543658041374
E072,Inferior Temporal Lobe,5_TxWk,Weak Transcription,2426,34.08739637487705,874,30.64516129032258,1.1704159140122743,0.000976890163796542,7117,2852,0.016328021309170774
E072,Inferior Temporal Lobe,6_EnhG,Genic Enhancers,140,1.9671209779401435,55,1.9284712482468442,1.0204437958486976,0.9363714639656229,7117,2852,1.0
E072,Inferior Temporal Lobe,7_Enh,Enhancers,589,8.275958971476745,210,7.363253856942496,1.1351380135387488,0.13123769848870664,7117,2852,0.5753010341801109
E072,Inferior Temporal Lobe,8_ZNF/Rpts,ZNF Genes & Repeats,12,0.16861036953772657,10,0.3506311360448808,0.48,0.09717500394504255,7117,2852,0.45477901846279917
E072,Inferior Temporal Lobe,9_Het,Heterochromatin,41,0.5760854292538992,19,0.6661991584852734,0.8639507899199667,0.5700448476001924,7117,2852,0.8336905896152813
E073,DLPFC,10_TssBiv,Bivalent/Poised TSS,5,0.0702543206407194,2,0.07012622720897616,1.001827896512936,1.0,7117,2852,1.0
E073,DLPFC,11_BivFlnk,Flanking Bivalent TSS/Enh,1,0.01405086412814388,3,0.10518934081346423,0.13345512460183623,0.07352360351391717,7117,2852,0.4096315052918242
E073,DLPFC,12_EnhBiv,Bivalent Enhancer,5,0.0702543206407194,0,0.0,inf,0.3304892348685343,7117,2852,0.6843176987365572
E073,DLPFC,13_ReprPC,Repressed PolyComb,17,0.238864690178446,6,0.21037868162692847,1.1357276995305163,1.0,7117,2852,1.0
E073,DLPFC,14_ReprPCWk,Weak Repressed PolyComb,265,3.7234789939581283,71,2.4894810659186537,1.5148553316395748,0.0017149317930888954,7117,2852,0.022294113310155638
E073,DLPFC,15_Quies,Quiescent/Low,3261,45.8198679218772,1344,47.12482468443198,0.9488899488737403,0.23888076472610884,7117,2852,0.6352056698398804
E073,DLPFC,1_TssA,Active TSS,110,1.545595054095827,40,1.402524544179523,1.1036106750392465,0.6494414855032479,7117,2852,0.8939371035750588
E073,DLPFC,2_TssAFlnk,Flanking Active TSS,51,0.7165940705353379,23,0.8064516129032258,0.8877724313614492,0.6082404478127761,7117,2852,0.8573991854710217
E073,DLPFC,3_TxFlnk,Transcr. at gene 5'/3',1,0.01405086412814388,4,0.1402524544179523,0.10005621135469364,0.02579681351704087,7117,2852,0.18863919884336133
E073,DLPFC,4_Tx,Strong Transcription,354,4.974005901362934,185,6.486676016830295,0.7545971522313383,0.003240605256766317,7117,2852,0.0344682559128781
E073,DLPFC,5_TxWk,Weak Transcription,2491,35.00070254320641,958,33.59046283309958,1.0645904468435194,0.1842868431514248,7117,2852,0.5877488790064228
